#1	
float BMP_Qch4(571,5)
345	0.1	0.3	0.8	1.05
346	0.1	0.3	0.8	1.05
347	0.1	0.3	0.8	1.05
348	0.1	0.3	0.8	1.05
349	0.1	0.3	0.85	1.05
350	0.1	0.3	0.85	1.05
351	0.1	0.3	0.95	1.05
352	0.1	0.3	0.95	1.05
353	0.1	0.3	0.95	1
354	0.1	0.3	0.95	0.95
355	0.1	0.3	0.95	1.05
356	0.1	0.3	0.95	1.1
357	0.2	0.3	0.95	1.1
358	0.2	0.3	0.95	1.1
359	0.2	0.3	0.95	1.1
360	0.2	0.3	0.85	1.05
361	0.2	0.3	0.85	1.05
362	0.2	0.3	0.85	1.05
363	0.2	0.3	0.85	1.05
364	0.2	0.25	0.85	0.95
365	0.2	0.25	0.75	0.9
366	0.2	0.2	0.65	0.9
367	0.2	0.2	0.65	0.75
368	0.2	0.2	0.65	0.7
369	0.2	0.2	0.65	0.7
370	0.2	0.2	0.65	0.7
371	0.2	0.2	0.6	0.7
372	0.2	0.2	0.55	0.7
373	0.2	0.2	0.55	0.7
374	0.2	0.2	0.55	0.7
375	0.2	0.2	0.55	0.7
376	0.2	0.2	0.55	0.7
377	0.2	0.2	0.55	0.7
378	0.2	0.2	0.55	0.7
379	0.2	0.2	0.55	0.7
380	0.2	0.2	0.55	0.7
381	0.2	0.2	0.55	0.7
382	0.2	0.2	0.55	0.7
383	0.2	0.2	0.55	0.7
384	0.2	0.2	0.55	0.7
385	0.2	0.2	0.55	0.7
386	0.2	0.2	0.55	0.7
387	0.2	0.2	0.55	0.7
388	0.2	0.2	0.6	0.65
389	0.2	0.2	0.65	0.65
390	0.2	0.2	0.65	0.65
391	0.2	0.2	0.65	0.55
392	0.2	0.2	0.65	0.55
393	0.2	0.2	0.6	0.55
394	0.2	0.2	0.5	0.55
395	0.2	0.2	0.5	0.55
396	0.2	0.2	0.5	0.55
397	0.2	0.2	0.5	0.55
398	0.2	0.2	0.5	0.55
399	0.2	0.2	0.5	0.55
400	0.2	0.2	0.5	0.7
401	0.2	0.7	1.3	0.9
402	0.2	1.6	1.3	0.9
403	0.3	1.6	1.3	0.9
404	0.4	1.6	1.05	0.9
405	0.4	1.6	0.7	0.9
406	0.4	1.15	0.7	0.9
407	0.4	0.75	0.7	0.5
408	0.4	0.45	0.7	0.5
409	0.4	0.45	0.7	0.5
410	0.4	0.45	0.7	0.5
411	0.4	0.45	0.7	0.5
412	0.4	0.45	0.6	0.5
413	0.4	0.45	0.55	0.5
414	0.4	0.45	0.55	0.5
415	0.4	0.45	0.55	0.5
416	0.4	0.45	0.55	0.5
417	0.4	0.45	0.55	0.5
418	0.4	0.45	0.55	0.5
419	0.4	0.45	0.55	0.5
420	0.4	0.45	0.55	0.55
421	0.4	0.45	0.55	0.55
422	0.4	0.45	0.55	0.55
423	0.4	0.5	0.65	0.55
424	0.4	0.5	0.75	0.55
425	0.4	0.5	0.75	0.55
426	0.3	0.5	0.75	0.55
427	0.3	0.55	0.75	0.55
428	0.3	0.55	0.75	0.55
429	0.3	0.55	0.75	0.55
430	0.3	0.55	0.75	0.5
431	0.3	0.55	0.75	0.5
432	0.3	0.55	0.75	0.55
433	0.3	0.55	0.6	0.55
434	0.3	0.55	0.6	0.55
435	0.3	0.55	0.6	0.55
436	0.3	0.55	0.6	0.55
437	0.3	0.5	0.6	0.55
438	0.3	0.5	0.65	0.55
439	0.3	0.5	0.65	0.55
440	0.3	0.5	0.65	0.55
441	0.3	0.5	0.65	0.55
442	0.3	0.5	0.65	0.55
443	0.3	0.5	0.65	0.55
444	0.3	0.5	0.65	0.6
445	0.3	0.55	0.65	0.6
446	0.3	0.55	0.65	0.6
447	0.3	0.55	0.65	0.6
448	0.3	0.55	0.65	0.6
449	0.3	0.55	0.75	0.6
450	0.3	0.55	1	0.6
451	0.3	0.55	1	0.6
452	0.3	0.6	1	0.6
453	0.3	0.6	1	0.6
454	0.3	0.6	1	0.6
455	0.3	0.6	0.95	0.6
456	0.3	0.6	0.9	0.65
457	0.3	0.6	0.9	0.65
458	0.3	0.6	0.9	0.65
459	0.2	0.55	0.9	0.65
460	0.2	0.55	0.9	0.65
461	0.2	0.55	0.9	0.65
462	0.2	0.55	0.9	0.65
463	0.2	0.55	0.75	0.65
464	0.2	0.55	0.75	0.65
465	0.2	0.6	0.75	0.7
466	0.2	0.6	0.75	0.7
467	0.2	0.6	0.75	0.7
468	0.2	0.6	0.75	0.7
469	0.2	0.6	0.75	0.7
470	0.2	0.6	0.75	0.7
471	0.2	0.6	0.75	0.7
472	0.2	0.6	0.75	0.7
473	0.2	0.6	0.75	0.7
474	0.2	0.6	0.8	0.75
475	0.2	0.6	0.8	0.75
476	0.2	0.6	0.8	0.75
477	0.2	0.6	0.8	0.75
478	0.2	0.55	0.8	0.75
479	0.2	0.55	0.8	0.75
480	0.2	0.55	0.8	0.75
481	0.2	0.55	0.8	0.75
482	0.2	0.55	0.7	0.75
483	0.2	0.55	0.65	0.75
484	0.2	0.55	0.65	0.7
485	0.2	0.55	0.65	0.65
