"time","santonio_plus10maize.sAntonio.digester.COD_tot","santonio_plus10manure.sAntonio.digester.COD_tot","santonio_plus10tomato.sAntonio.digester.COD_tot","santonio_plus20manure.sAntonio.digester.COD_tot"
16308000,82.27969364377967,81.99531210717041,82.59530141943391,83.87410876502749
16311600,82.27969745432483,81.99531788340788,82.5953124632736,83.87411873263339
16315200,82.27970125943831,81.99532365164416,82.59532349270273,83.87412868608004
16318800,82.27970505912002,81.99532941187925,82.59533450772138,83.87413862536748
16322400,82.27970885337007,81.99533516411316,82.59534550832942,83.87414855049563
16326000,82.27971264218836,81.99534090834588,82.59535649452698,83.87415846146456
16329600,82.27971642557493,81.99534664457742,82.59536746631397,83.8741683582742
16333200,82.27972020352976,81.99535237280777,82.59537842369042,83.87417824092465
16336800,82.27972397605291,81.99535809303694,82.59538936665633,83.87418810941583
16340400,82.27972774314429,81.99536380526494,82.59540029521172,83.87419796374775
16344000,82.27973150480396,81.99536950949175,82.59541120935651,83.8742078039204
16347600,82.27973526103193,81.99537520571738,82.59542210909082,83.87421762993385
16351200,82.27973901182816,81.99538089394184,82.59543299441458,83.87422744178802
16354800,82.27974275719269,81.9953865741651,82.59544386532777,83.87423723948295
16358400,82.27974649712546,81.99539224638718,82.59545472183044,83.87424702301863
16362000,82.27975023162651,81.99539791060806,82.59546556392255,83.87425679239507
16365600,82.27975396069586,81.99540356682778,82.59547639160414,83.87426654761225
16369200,82.27975768433348,81.99540921504629,82.59548720487516,83.87427628867019
16372800,82.27976140253939,81.99541485526365,82.59549800373568,83.87428601556887
16376400,82.27976511531354,81.99542048747982,82.59550878818564,83.87429572830831
16380000,82.27976882265598,81.9954261116948,82.59551955822502,83.87430542688847
16383600,82.2797725245667,81.99543172790861,82.59553031385391,83.87431511130944
16387200,82.27977622104571,81.99543733612121,82.59554105507226,83.87432478157113
16390800,82.27977991209298,81.99544293633264,82.59555178188005,83.87433443767358
16394400,82.27978359917277,81.99544853064492,82.59556249786185,83.87434408340232
16398000,82.27978728396194,81.9954541214654,82.59557320712291,83.87435372309287
16401600,82.27979096356134,81.99545970463203,82.59558390256572,83.87436334924965
16405200,82.27979463797099,81.99546528014484,82.59559458419037,83.87437296187277
16408800,82.27979830719083,81.99547084800382,82.59560525199679,83.87438256096219
16412400,82.27980197122095,81.99547640820897,82.59561590598501,83.87439214651788
16416000,82.27980563006129,81.99548196076027,82.59562654615499,83.8744017185399
16419600,82.27980928371186,81.99548750565776,82.59563717250677,83.87441127702819
16423200,82.27981293217266,81.99549304290142,82.59564778504036,83.87442082198278
16426800,82.27981657544368,81.99549857249121,82.59565838375572,83.87443035340367
16430400,82.27982021352496,81.99550409442719,82.59566896865287,83.87443987129086
16434000,82.27982384641646,81.99550960870936,82.5956795397318,83.87444937564436
16437600,82.27982747411818,81.99551511533765,82.59569009699254,83.87445886646417
16441200,82.27983109663013,81.99552061431214,82.59570064043504,83.87446834375024
16444800,82.27983471395234,81.99552610563279,82.59571117005936,83.87447780750261
16448400,82.27983832608476,81.99553158929959,82.59572168586544,83.87448725772128
16452000,82.2798419330274,81.99553706531258,82.59573218785334,83.87449669440625
16455600,82.27984553478028,81.99554253367171,82.59574267602301,83.87450611755754
16459200,82.27984913134341,81.99554799437705,82.59575315037446,83.87451552717511
