"time","santonio_plus10maize.Qch4.y","santonio_plus10manure.Qch4.y","santonio_plus10tomato.Qch4.y","santonio_plus20maize.Qch4.y","santonio_plus20manure.Qch4.y","santonio_plus20tomato.Qch4.y","santonio_plus30maize.Qch4.y","santonio_plus30manure.Qch4.y","santonio_plus30tomato.Qch4.y"
61200,0.02071662970865873,0.02071662970865873,0.02071662970865873,0.02071662970865873,0.02071662970865873,0.02071662970865873,0.02071662970865873,0.02071662970865873,0.02071662970865873
64800,0.02038132670531922,0.02038132670531922,0.02038132670531922,0.02038132670531922,0.02038132670531922,0.02038132670531922,0.02038132670531922,0.02038132670531922,0.02038132670531922
68400,0.02004602372744557,0.02004602372744557,0.02004602372744557,0.02004602372744557,0.02004602372744557,0.02004602372744557,0.02004602372744557,0.02004602372744557,0.02004602372744557
72000,0.01971072074229596,0.01971072074229596,0.01971072074229596,0.01971072074229596,0.01971072074229596,0.01971072074229596,0.01971072074229596,0.01971072074229596,0.01971072074229596
75600,0.01937541776351281,0.01937541776351281,0.01937541776351281,0.01937541776351281,0.01937541776351281,0.01937541776351281,0.01937541776351281,0.01937541776351281,0.01937541776351281
79200,0.01904011479018664,0.01904011479018664,0.01904011479018664,0.01904011479018664,0.01904011479018664,0.01904011479018664,0.01904011479018664,0.01904011479018664,0.01904011479018664
82800,0.01870481183050288,0.01870481183050288,0.01870481183050288,0.01870481183050288,0.01870481183050288,0.01870481183050288,0.01870481183050288,0.01870481183050288,0.01870481183050288
86400,0.01836950885535771,0.01836950885535771,0.01836950885535771,0.01836950885535771,0.01836950885535771,0.01836950885535771,0.01836950885535771,0.01836950885535771,0.01836950885535771
90000,0.01803420590294991,0.01803420590294991,0.01803420590294991,0.01803420590294991,0.01803420590294991,0.01803420590294991,0.01803420590294991,0.01803420590294991,0.01803420590294991
93600,0.0177189005398759,0.0177189005398759,0.0177189005398759,0.0177189005398759,0.0177189005398759,0.0177189005398759,0.0177189005398759,0.0177189005398759,0.0177189005398759
97200,0.0174938825703066,0.0174938825703066,0.0174938825703066,0.0174938825703066,0.0174938825703066,0.0174938825703066,0.0174938825703066,0.0174938825703066,0.0174938825703066
100800,0.01726886460164678,0.01726886460164678,0.01726886460164678,0.01726886460164678,0.01726886460164678,0.01726886460164678,0.01726886460164678,0.01726886460164678,0.01726886460164678
104400,0.0170438466457199,0.0170438466457199,0.0170438466457199,0.0170438466457199,0.0170438466457199,0.0170438466457199,0.0170438466457199,0.0170438466457199,0.0170438466457199
108000,0.01681882869343099,0.01681882869343099,0.01681882869343099,0.01681882869343099,0.01681882869343099,0.01681882869343099,0.01681882869343099,0.01681882869343099,0.01681882869343099
111600,0.01659381073568511,0.01659381073568511,0.01659381073568511,0.01659381073568511,0.01659381073568511,0.01659381073568511,0.01659381073568511,0.01659381073568511,0.01659381073568511
115200,0.01636879279067216,0.01636879279067216,0.01636879279067216,0.01636879279067216,0.01636879279067216,0.01636879279067216,0.01636879279067216,0.01636879279067216,0.01636879279067216
