"time","santonio_plus10maize.sAntonio.digester.TVFA","santonio_plus10manure.sAntonio.digester.TVFA","santonio_plus10tomato.sAntonio.digester.TVFA","santonio_plus20manure.sAntonio.digester.TVFA"
56.375,543.725953373626,562.1185440664832,644.0958115765228,563.5862349542898
56.41666666666666,543.6858812488219,562.0998626091563,644.081654277362,563.5497117989787
56.45833333333334,543.6459207363029,562.0812016010838,644.0676162000694,563.5132344769823
56.5,543.6060714836283,562.0625610308198,644.0536967881311,563.476802944831
56.54166666666666,543.5663331373046,562.0439408869496,644.0398954827263,563.4404171590758
56.58333333333334,543.5267053470086,562.0253411579653,644.0262117319368,563.4040770762072
56.625,543.4871877633238,562.0067618323336,644.0126449858,563.3677826526972
56.66666666666666,543.4477800371851,561.9882028985108,643.9991946951201,563.3315338450124
56.70833333333334,543.408481822281,561.9696643448725,643.9858603166572,563.2953306095674
56.75,543.3692927725714,561.9511461597876,643.9726413077536,563.2591729027722
56.79166666666666,543.3302125444666,561.9326483315535,643.9595371310376,563.2230606809917
56.83333333333334,543.2912407951416,561.9141708484451,643.9465472507884,563.1869939005777
56.875,543.2523771831959,561.8957136986965,643.9336711343548,563.1509725178558
56.91666666666666,543.2136213685708,561.8772768705024,643.9209082519598,563.1149964891295
56.95833333333334,543.1749730128997,561.8588603520095,643.9082580774732,563.0790657706704
57,543.1364317787545,561.8404641313366,643.8957200867669,563.0431803187356
57.04166666666666,543.0979973297915,561.8220881965723,643.8832937580288,563.0073400895648
57.08333333333334,543.0596693303426,561.8037325357856,643.8709785708891,562.9715450393858
57.125,543.0214474478452,561.7853971369556,643.8587740116004,562.9357951243762
57.16666666666666,542.9833313484822,561.7670819880987,643.846679563734,562.900090300734
57.20833333333334,542.9453207021103,561.7487870771255,643.8346947186842,562.864430524599
57.25,542.9074151784589,561.7305123919508,643.8228189675632,562.8288157521126
57.29166666666666,542.8696144487108,561.7122579204473,643.8110518045726,562.7932459393946
57.33333333333334,542.8319181894439,561.694023650334,643.7993927353737,562.7577210424799
57.375,542.7943260733419,561.6758095694405,643.7878412573563,562.7222410174643
57.41666666666666,542.7568377740565,561.657615665569,643.7763968699661,562.6868058204282
57.45833333333334,542.7194529700404,561.6394419263871,643.7650590827143,562.6514154073874
57.5,542.6821713382225,561.6212883396053,643.7538274019176,562.6160697343772
57.54166666666666,542.6449925526342,561.6031548930148,643.7427013278178,562.5807687574739
57.58333333333334,542.6079162936621,561.5850415742286,643.7316803739999,562.545512432665
57.625,542.5709422526647,561.5669483705509,643.7207640770937,562.5103007157865
57.66666666666666,542.5340701019572,561.5488752698218,643.7099519337313,562.4751335629383
57.70833333333334,542.4972995208225,561.5308222596844,643.6992434551782,562.4400109301232
57.75,542.460630210112,561.5127893271791,643.6886381977853,562.4049327730634
57.79166666666666,542.4240618463606,561.494776460027,643.6781356670747,562.3698990477983
57.83333333333334,542.3875941121305,561.4767836457796,643.6677353811676,562.3349097102881
57.87037037037037,542.3552625803753,561.4608068573247,643.6585761479832,562.3038453050203
57.87037037037037,542.3552625803753,561.4608068573247,643.6585761479832,562.3038453050203
57.875,542.3512269159136,561.458810914833,643.6574370983366,562.2999648117667
57.91666666666666,542.3149801199605,561.4408623087702,643.6472607676685,562.2650732613087
57.95833333333334,542.2788299872187,561.4229331260528,643.6371822049089,562.2302246358603
58,542.242765342202,561.4050211609463,643.6271899564995,562.1954140576629
58.04166666666666,542.206795121429,561.3871282453219,643.6172929317169,562.1606455693955
