#1	
float Input_Q_Feed2_ADM1(1117,2)	
1612.033333	1E-16
1616	1E-16
1616.033333	1E-16
1620	1E-16
1620.033333	1E-16
1624	1E-16
1624.033333	1E-16
1628	1E-16
1628.033333	1E-16
1632	1E-16
1632.033333	1E-16
1636	1E-16
1636.033333	1E-16
1640	1E-16
1640.033333	1E-16
1644	1E-16
1644.033333	1E-16
1648	1E-16
1648.033333	1E-16
1652	1E-16
1652.033333	1E-16
1656	1E-16
1656.033333	1E-16
1660	1E-16
1660.033333	1E-16
1664	1E-16
1664.033333	1E-16
1668	1E-16
1668.033333	1E-16
1672	1E-16
1672.033333	1E-16
1676	1E-16
1676.033333	1E-16
1680	1E-16
1680.033333	1E-16
1684	1E-16
1684.033333	1E-16
1688	1E-16
1688.033333	1E-16
1692	1E-16
1692.033333	1E-16
1696	1E-16
1696.033333	1E-16
1700	1E-16
1700.033333	1E-16
1704	0.0165
1704.033333	1E-16
1708	0.0165
1708.033333	1E-16
1712	0.0165
1712.033333	1E-16
1716	0.0165
1716.033333	1E-16
1720	0.0165
1720.033333	1E-16
1724	0.0165
1724.033333	1E-16
1728	0.0165
1728.033333	1E-16
1732	0.0165
1732.033333	1E-16
1736	0.0165
1736.033333	1E-16
1740	0.0165
1740.033333	1E-16
1744	0.0165
1744.033333	1E-16
1748	0.0165
1748.033333	1E-16
1752	0.0165
1752.033333	1E-16
1756	0.0165
1756.033333	1E-16
1760	0.0165
1760.033333	1E-16
1764	0.0165
1764.033333	1E-16
1768	0.0165
1768.033333	1E-16
1772	0.0165
1772.033333	1E-16
1776	0.0165
1776.033333	1E-16
1780	0.0165
1780.033333	1E-16
1784	0.0165
1784.033333	1E-16
1788	0.0165
1788.033333	1E-16
1792	0.0165
1792.033333	1E-16
1796	0.0165
1796.033333	1E-16
1800	0.0165
1800.033333	1E-16
1804	0.0165
1804.033333	1E-16
1808	0.0165
1808.033333	1E-16
1812	0.0165
1812.033333	1E-16
1816	0.0165
1816.033333	1E-16
1820	0.0165
1820.033333	1E-16
1824	0.0165
1824.033333	1E-16
1828	0.0165
1828.033333	1E-16
1832	0.0165
1832.033333	1E-16
1836	0.0165
1836.033333	1E-16
1840	0.0165
1840.033333	1E-16
1844	0.0165
1844.033333	1E-16
1848	0.0149
1848.033333	1E-16
1852	0.0149
1852.033333	1E-16
1856	0.0149
1856.033333	1E-16
1860	0.0149
1860.033333	1E-16
1864	0.0149
1864.033333	1E-16
1868	0.0149
1868.033333	1E-16
1872	0.0149
1872.033333	1E-16
1876	0.0149
1876.033333	1E-16
1880	0.0149
1880.033333	1E-16
1884	0.0149
1884.033333	1E-16
1888	0.0149
1888.033333	1E-16
1892	0.0149
1892.033333	1E-16
1896	0.0149
1896.033333	1E-16
1900	0.0149
1900.033333	1E-16
1904	0.0149
1904.033333	1E-16
1908	0.0149
1908.033333	1E-16
1912	0.0149
1912.033333	1E-16
1916	0.0149
1916.033333	1E-16
1920	0.0149
1920.033333	1E-16
1924	0.0149
1924.033333	1E-16
1928	0.0149
1928.033333	1E-16
1932	0.0149
1932.033333	1E-16
1936	0.0149
1936.033333	1E-16
1940	0.0149
1940.033333	1E-16
1944	0.0149
1944.033333	1E-16
1948	0.0149
1948.033333	1E-16
1952	0.0149
1952.033333	1E-16
1956	0.0149
1956.033333	1E-16
1960	0.0149
1960.033333	1E-16
1964	0.0149
1964.033333	1E-16
1968	0.0149
1968.033333	1E-16
1972	0.0149
1972.033333	1E-16
1976	0.0149
1976.033333	1E-16
1980	0.0149
1980.033333	1E-16
1984	0.0149
1984.033333	1E-16
1988	0.0149
1988.033333	1E-16
1992	0.0149
1992.033333	1E-16
1996	0.0149
1996.033333	1E-16
2000	0.0149
2000.033333	1E-16
2004	0.0149
2004.033333	1E-16
2008	0.0149
2008.033333	1E-16
2012	0.0149
2012.033333	1E-16
2016	0.0149
2016.033333	1E-16
2020	0.0149
2020.033333	1E-16
2024	0.0149
2024.033333	1E-16
2028	0.0149
2028.033333	1E-16
2032	0.0149
2032.033333	1E-16
2036	0.0149
2036.033333	1E-16
2040	0.035
2040.033333	1E-16
2044	0.035
2044.033333	1E-16
2048	0.035
2048.033333	1E-16
2052	0.035
2052.033333	1E-16
2056	0.035
2056.033333	1E-16
2060	0.035
2060.033333	1E-16
2064	0.035
2064.033333	1E-16
2068	0.035
2068.033333	1E-16
2072	0.035
2072.033333	1E-16
2076	0.035
2076.033333	1E-16
2080	0.035
2080.033333	1E-16
2084	0.035
2084.033333	1E-16
2088	0.035
2088.033333	1E-16
2092	0.035
2092.033333	1E-16
2096	0.035
2096.033333	1E-16
2100	0.035
2100.033333	1E-16
2104	0.035
2104.033333	1E-16
2108	0.035
2108.033333	1E-16
2112	0.035
2112.033333	1E-16
2116	0.035
2116.033333	1E-16
2120	0.035
2120.033333	1E-16
2124	0.035
2124.033333	1E-16
2128	0.035
2128.033333	1E-16
2132	0.035
2132.033333	1E-16
2136	0.035
2136.033333	1E-16
2140	0.035
2140.033333	1E-16
2144	0.035
2144.033333	1E-16
2148	0.035
2148.033333	1E-16
2152	0.035
2152.033333	1E-16
2156	0.035
2156.033333	1E-16
2160	0.035
2160.033333	1E-16
2164	0.035
2164.033333	1E-16
2168	0.035
2168.033333	1E-16
2172	0.035
2172.033333	1E-16
2176	0.035
2176.033333	1E-16
2180	0.035
2180.033333	1E-16
2184	0.035
2184.033333	1E-16
2188	0.035
2188.033333	1E-16
2192	0.035
2192.033333	1E-16
2196	0.035
2196.033333	1E-16
2200	0.035
2200.033333	1E-16
2204	0.035
2204.033333	1E-16
2208	0.035
2208.033333	1E-16
2212	0.035
2212.033333	1E-16
2216	0.035
2216.033333	1E-16
2220	0.035
2220.033333	1E-16
2224	0.035
2224.033333	1E-16
2228	0.035
2228.033333	1E-16
2232	0.0318
2232.033333	1E-16
2236	0.0318
2236.033333	1E-16
2240	0.0318
2240.033333	1E-16
2244	0.0318
2244.033333	1E-16
2248	0.0318
2248.033333	1E-16
2252	0.0318
2252.033333	1E-16
2256	0.0477
2256.033333	1E-16
2260	0.0477
2260.033333	1E-16
2264	0.0477
2264.033333	1E-16
2268	0.0477
2268.033333	1E-16
2272	0.0477
2272.033333	1E-16
2276	0.0477
2276.033333	1E-16
2280	0.0477
2280.033333	1E-16
2284	0.0477
2284.033333	1E-16
2288	0.0477
2288.033333	1E-16
2292	0.0477
2292.033333	1E-16
2296	0.0477
2296.033333	1E-16
2300	0.0477
2300.033333	1E-16
2304	0.0477
2304.033333	1E-16
2308	0.0477
2308.033333	1E-16
2312	0.0477
2312.033333	1E-16
2316	0.0477
2316.033333	1E-16
2320	0.0477
2320.033333	1E-16
2324	0.0477
2324.033333	1E-16
2328	0.0477
2328.033333	1E-16
2332	0.0477
2332.033333	1E-16
2336	0.0477
2336.033333	1E-16
2340	0.0477
2340.033333	1E-16
2344	0.0477
2344.033333	1E-16
2348	0.0477
2348.033333	1E-16
2352	0.0477




