#1
float Setpoints(3024,3)
587 0.41247000 0.88285000
588 0.41285000 0.88296000
589 0.41324000 0.88307000
590 0.41363000 0.88318000
591 0.41401000 0.88329000
592 0.41440000 0.88340000
593 0.41479000 0.88351000
594 0.41517000 0.88362000
595 0.41556000 0.88373000
596 0.41595000 0.88383000
597 0.41633000 0.88394000
598 0.41672000 0.88405000
599 0.41711000 0.88416000
600 0.41750000 0.88427000
601 0.41788000 0.88437000
602 0.41827000 0.88448000
603 0.41866000 0.88459000
604 0.41904000 0.88469000
605 0.41943000 0.88480000
606 0.41982000 0.88491000
607 0.42021000 0.88501000
608 0.42059000 0.88512000
609 0.42098000 0.88522000
610 0.42137000 0.88533000
611 0.42176000 0.88543000
612 0.42214000 0.88554000
613 0.42253000 0.88564000
614 0.42292000 0.88575000
615 0.42331000 0.88585000
616 0.42369000 0.88596000
617 0.42408000 0.88606000
618 0.42447000 0.88616000
619 0.42486000 0.88627000
620 0.42524000 0.88637000
621 0.42563000 0.88647000
622 0.42602000 0.88658000
623 0.42641000 0.88668000
624 0.42680000 0.88678000
625 0.42718000 0.88688000
626 0.42757000 0.88699000
627 0.42796000 0.88709000
628 0.42835000 0.88719000
629 0.42873000 0.88729000
630 0.42912000 0.88739000
631 0.42951000 0.88749000
632 0.42990000 0.88760000
633 0.43029000 0.88770000
634 0.43067000 0.88780000
635 0.43106000 0.88790000
636 0.43145000 0.88800000
637 0.43184000 0.88810000
638 0.43222000 0.88820000
639 0.43261000 0.88830000
640 0.43300000 0.88840000
641 0.43339000 0.88850000
642 0.43378000 0.88860000
643 0.43416000 0.88870000
644 0.43455000 0.88880000
645 0.43494000 0.88890000
646 0.43533000 0.88899000
647 0.43571000 0.88909000
648 0.43610000 0.88919000
649 0.43649000 0.88929000
650 0.43688000 0.88939000
651 0.43727000 0.88949000
652 0.43765000 0.88959000
653 0.43804000 0.88968000
654 0.43843000 0.88978000
655 0.43882000 0.88988000
656 0.43920000 0.88998000
657 0.43959000 0.89007000
658 0.43998000 0.89017000
659 0.44037000 0.89027000
660 0.44075000 0.89037000
661 0.44114000 0.89046000
662 0.44153000 0.89056000
663 0.44192000 0.89066000
664 0.44230000 0.89075000
665 0.44269000 0.89085000
666 0.44308000 0.89095000
667 0.44347000 0.89104000
668 0.44385000 0.89114000
669 0.44424000 0.89124000
670 0.44463000 0.89133000
671 0.44502000 0.89143000
672 0.44540000 0.89152000
673 0.44575000 0.89162000
674 0.44609000 0.89171000
675 0.44642000 0.89179000
676 0.44673000 0.89186000
677 0.44704000 0.89192000
678 0.44734000 0.89197000
679 0.44764000 0.89200000
680 0.44794000 0.89202000
681 0.44823000 0.89202000
682 0.44851000 0.89200000
683 0.44880000 0.89196000
684 0.44908000 0.89191000
685 0.44936000 0.89185000
686 0.44964000 0.89177000
687 0.44991000 0.89168000
688 0.45019000 0.89157000
689 0.45046000 0.89145000
690 0.45073000 0.89132000
691 0.45100000 0.89118000
692 0.45126000 0.89103000
693 0.45153000 0.89087000
694 0.45179000 0.89070000
695 0.45205000 0.89052000
696 0.45231000 0.89033000
697 0.45256000 0.89014000
698 0.45281000 0.88994000
699 0.45306000 0.88974000
700 0.45331000 0.88953000
701 0.45356000 0.88932000
702 0.45380000 0.88910000
703 0.45404000 0.88888000
704 0.45428000 0.88865000
705 0.45451000 0.88843000
706 0.45475000 0.88819000
707 0.45498000 0.88796000
708 0.45520000 0.88773000
709 0.45543000 0.88749000
710 0.45565000 0.88725000
711 0.45587000 0.88702000
712 0.45609000 0.88678000
713 0.45631000 0.88654000
714 0.45652000 0.88630000
715 0.45673000 0.88606000
716 0.45694000 0.88582000
717 0.45714000 0.88558000
718 0.45734000 0.88534000
719 0.45754000 0.88510000
720 0.45774000 0.88486000
721 0.45794000 0.88462000
722 0.45813000 0.88438000
723 0.45832000 0.88415000
724 0.45851000 0.88392000
725 0.45869000 0.88368000
726 0.45887000 0.88345000
727 0.45905000 0.88322000
728 0.45923000 0.88299000
729 0.45941000 0.88277000
730 0.45958000 0.88254000
731 0.45975000 0.88232000
732 0.45992000 0.88210000
733 0.46008000 0.88188000
734 0.46025000 0.88166000
735 0.46041000 0.88145000
736 0.46057000 0.88123000
